label,time,value
Burn,2024-03-04 00:00:00+00:00,125.0
Mint,2024-03-04 00:00:00+00:00,200.0
Burn,2024-03-11 00:00:00+00:00,75.0
Mint,2024-03-18 00:00:00+00:00,100499706.87
Mint,2024-03-25 00:00:00+00:00,174307546.0
Burn,2024-04-01 00:00:00+00:00,250000.0
Mint,2024-04-01 00:00:00+00:00,6098498.65
Burn,2024-04-08 00:00:00+00:00,691519.0
Mint,2024-04-08 00:00:00+00:00,13500150.0
Mint,2024-04-15 00:00:00+00:00,4900000.0
Burn,2024-04-22 00:00:00+00:00,705000.0
Mint,2024-04-22 00:00:00+00:00,51770864.0
Burn,2024-04-29 00:00:00+00:00,4000000.0
Mint,2024-04-29 00:00:00+00:00,36338565.04
Mint,2024-05-06 00:00:00+00:00,997535.65
Burn,2024-05-13 00:00:00+00:00,1700000.0
Mint,2024-05-13 00:00:00+00:00,45950000.0
Mint,2024-05-20 00:00:00+00:00,26495685.67
Burn,2024-05-27 00:00:00+00:00,19471000.0
Mint,2024-05-27 00:00:00+00:00,22214732.37
Burn,2024-06-03 00:00:00+00:00,400000.0
Mint,2024-06-03 00:00:00+00:00,7414463.31
Burn,2024-06-10 00:00:00+00:00,5798063.33
Mint,2024-06-10 00:00:00+00:00,5250000.0
Mint,2024-06-17 00:00:00+00:00,18700000.0
Burn,2024-06-24 00:00:00+00:00,1966377.68
Mint,2024-06-24 00:00:00+00:00,3855538.77
Mint,2024-07-01 00:00:00+00:00,8519412.66
Burn,2024-07-08 00:00:00+00:00,9689925.5
Mint,2024-07-08 00:00:00+00:00,42726964.65
Burn,2024-07-15 00:00:00+00:00,11000100.0
Mint,2024-07-15 00:00:00+00:00,12965102.36
Burn,2024-07-22 00:00:00+00:00,19174146.55
Mint,2024-07-22 00:00:00+00:00,811885.39
Burn,2024-07-29 00:00:00+00:00,20249900.0
Mint,2024-07-29 00:00:00+00:00,34588657.62
Burn,2024-08-05 00:00:00+00:00,16016066.71
Mint,2024-08-05 00:00:00+00:00,6592634.79
Burn,2024-08-12 00:00:00+00:00,15453859.06
Mint,2024-08-12 00:00:00+00:00,4737184.0
Burn,2024-08-26 00:00:00+00:00,7000000.0
Mint,2024-08-26 00:00:00+00:00,6876539.0
Burn,2024-09-02 00:00:00+00:00,13500000.0
Mint,2024-09-02 00:00:00+00:00,25472032.65
Burn,2024-09-09 00:00:00+00:00,1000000.0
Mint,2024-09-09 00:00:00+00:00,6541806.7
Burn,2024-09-16 00:00:00+00:00,703484.37
Mint,2024-09-16 00:00:00+00:00,2561120.88
Burn,2024-09-23 00:00:00+00:00,9400000.0
Mint,2024-09-23 00:00:00+00:00,747062.07
Burn,2024-09-30 00:00:00+00:00,7795991.93
Mint,2024-09-30 00:00:00+00:00,31648133.98
Burn,2024-10-07 00:00:00+00:00,21213057.5
Mint,2024-10-07 00:00:00+00:00,34661095.5
Burn,2024-10-14 00:00:00+00:00,21712057.5
Mint,2024-10-14 00:00:00+00:00,22134664.95
Burn,2024-10-21 00:00:00+00:00,21250000.0
Burn,2024-10-28 00:00:00+00:00,11200000.0
Mint,2024-10-28 00:00:00+00:00,14964997.73
Burn,2024-11-04 00:00:00+00:00,23504000.0
Mint,2024-11-04 00:00:00+00:00,1000.0
